VGS,ID,GM
1.77000000e-01,2.83640667e-10,7.07167658e-09
1.78000000e-01,2.90801161e-10,7.25197680e-09
1.79000000e-01,2.98144620e-10,7.43627382e-09
1.80000000e-01,3.05673709e-10,7.62367947e-09
1.81000000e-01,3.13391979e-10,7.81597009e-09
1.82000000e-01,3.21305649e-10,8.01447797e-09
1.83000000e-01,3.29420935e-10,8.21787083e-09
1.84000000e-01,3.37741390e-10,8.42703685e-09
1.85000000e-01,3.46275009e-10,8.64064376e-09
1.86000000e-01,3.55022678e-10,8.85780338e-09
1.87000000e-01,3.63990615e-10,9.08206843e-09
1.88000000e-01,3.73186815e-10,9.31343891e-09
1.89000000e-01,3.82617493e-10,9.54925028e-09
1.90000000e-01,3.92285315e-10,9.78994663e-09
1.91000000e-01,4.02197387e-10,1.00377484e-08
1.92000000e-01,4.12360812e-10,1.02926556e-08
1.93000000e-01,4.22782698e-10,1.05537801e-08
1.94000000e-01,4.33468372e-10,1.08193454e-08
1.95000000e-01,4.44421389e-10,1.10929044e-08
1.96000000e-01,4.55654181e-10,1.13744569e-08
1.97000000e-01,4.67170302e-10,1.16617827e-08
1.98000000e-01,4.78977746e-10,1.19571020e-08
1.99000000e-01,4.91084506e-10,1.22595267e-08
2.00000000e-01,5.03496800e-10,1.25699451e-08
2.01000000e-01,5.16224397e-10,1.28874689e-08
2.02000000e-01,5.29271738e-10,1.32120981e-08
2.03000000e-01,5.42648593e-10,1.35469413e-08
2.04000000e-01,5.56365620e-10,1.38902223e-08
2.05000000e-01,5.70429037e-10,1.42406087e-08
