 6.91830971e+00 -8.14012901e+01  6.91830971e+00 -1.34624302e+00  6.91830971e+00 -7.55898523e+01  6.91830971e+00 -2.19863503e+01  6.91830971e+00 -4.16333511e+01 
 7.07945784e+00 -8.15479136e+01  7.07945784e+00 -1.35032953e+00  7.07945784e+00 -7.57359897e+01  7.07945784e+00 -2.21547806e+01  7.07945784e+00 -4.17675487e+01 
 7.24435960e+00 -8.16963813e+01  7.24435960e+00 -1.35447044e+00  7.24435960e+00 -7.58844487e+01  7.24435960e+00 -2.23243725e+01  7.24435960e+00 -4.19028564e+01 
 7.41310241e+00 -8.18459056e+01  7.41310241e+00 -1.35866910e+00  7.41310241e+00 -7.60342880e+01  7.41310241e+00 -2.24950937e+01  7.41310241e+00 -4.20385483e+01 
 7.58577575e+00 -8.19978529e+01  7.58577575e+00 -1.36289942e+00  7.58577575e+00 -7.61860278e+01  7.58577575e+00 -2.26669120e+01  7.58577575e+00 -4.21756092e+01 
 7.76247117e+00 -8.21512297e+01  7.76247117e+00 -1.36715857e+00  7.76247117e+00 -7.63392773e+01  7.76247117e+00 -2.28397958e+01  7.76247117e+00 -4.23136976e+01 
 7.94328235e+00 -8.23060264e+01  7.94328235e+00 -1.37144260e+00  7.94328235e+00 -7.64947623e+01  7.94328235e+00 -2.30137133e+01  7.94328235e+00 -4.24522785e+01 
 8.12830516e+00 -8.24622895e+01  8.12830516e+00 -1.37578201e+00  8.12830516e+00 -7.66514529e+01  8.12830516e+00 -2.31886333e+01  8.12830516e+00 -4.25911406e+01 
 8.31763771e+00 -8.26202879e+01  8.31763771e+00 -1.38012149e+00  8.31763771e+00 -7.68097040e+01  8.31763771e+00 -2.33645250e+01  8.31763771e+00 -4.27314761e+01 
 8.51138038e+00 -8.27797796e+01  8.51138038e+00 -1.38448157e+00  8.51138038e+00 -7.69698067e+01  8.51138038e+00 -2.35413580e+01  8.51138038e+00 -4.28718387e+01 
 8.70963590e+00 -8.29408751e+01  8.70963590e+00 -1.38886567e+00  8.70963590e+00 -7.71312281e+01  8.70963590e+00 -2.37191023e+01  8.70963590e+00 -4.30132952e+01 
 8.91250938e+00 -8.31030634e+01  8.91250938e+00 -1.39327516e+00  8.91250938e+00 -7.72945465e+01  8.91250938e+00 -2.38977283e+01  8.91250938e+00 -4.31547714e+01 
 9.12010839e+00 -8.32668046e+01  9.12010839e+00 -1.39767474e+00  9.12010839e+00 -7.74587966e+01  9.12010839e+00 -2.40772072e+01  9.12010839e+00 -4.32968237e+01 
 9.33254301e+00 -8.34316902e+01  9.33254301e+00 -1.40207118e+00  9.33254301e+00 -7.76248829e+01  9.33254301e+00 -2.42575105e+01  9.33254301e+00 -4.34391634e+01 
 9.54992586e+00 -8.35980562e+01  9.54992586e+00 -1.40650488e+00  9.54992586e+00 -7.77921394e+01  9.54992586e+00 -2.44386103e+01  9.54992586e+00 -4.35816743e+01 
