dc,V
5.35000000e-01,-2.15820602e-03
5.36000000e-01,-2.19418864e-03
5.37000000e-01,-2.22797179e-03
5.38000000e-01,-2.27119699e-03
5.39000000e-01,-2.31258929e-03
5.40000000e-01,-2.35173564e-03
5.41000000e-01,-2.39451919e-03
5.42000000e-01,-2.43457214e-03
5.43000000e-01,-2.47832536e-03
5.44000000e-01,-2.52227911e-03
5.45000000e-01,-2.56384708e-03
5.46000000e-01,-2.60911300e-03
5.47000000e-01,-2.65752745e-03
5.48000000e-01,-2.70331538e-03
5.49000000e-01,-2.74847755e-03
5.50000000e-01,-2.79867655e-03
5.51000000e-01,-2.84902561e-03
5.52000000e-01,-2.89706735e-03
5.53000000e-01,-2.94741614e-03
5.54000000e-01,-2.99820026e-03
5.55000000e-01,-3.05106251e-03
5.56000000e-01,-3.10440494e-03
5.57000000e-01,-3.15984569e-03
5.58000000e-01,-3.21433063e-03
5.59000000e-01,-3.26815337e-03
5.60000000e-01,-3.32713572e-03
5.61000000e-01,-3.38637870e-03
5.62000000e-01,-3.44780511e-03
5.63000000e-01,-3.50833422e-03
5.64000000e-01,-3.56534545e-03
5.65000000e-01,-3.62638885e-03
5.66000000e-01,-3.69078477e-03
5.67000000e-01,-3.75569247e-03
5.68000000e-01,-3.82284730e-03
5.69000000e-01,-3.89064631e-03
5.70000000e-01,-3.95633479e-03
5.71000000e-01,-4.02601782e-03
5.72000000e-01,-4.09769160e-03
5.73000000e-01,-4.16718010e-03
5.74000000e-01,-4.24072006e-03
5.75000000e-01,-4.31483775e-03
5.76000000e-01,-4.38841110e-03
5.77000000e-01,-4.46739708e-03
5.78000000e-01,-4.54543087e-03
5.79000000e-01,-4.62457503e-03
5.80000000e-01,-4.70611828e-03
5.81000000e-01,-4.78704376e-03
5.82000000e-01,-4.87202534e-03
5.83000000e-01,-4.95773602e-03
5.84000000e-01,-5.04450210e-03
5.85000000e-01,-5.13085599e-03
5.86000000e-01,-5.22278961e-03
5.87000000e-01,-5.31539761e-03
