 1.62181010e+01 -1.88865140e+02  1.62181010e+01 -2.15667099e-01  1.62181010e+01 -1.82021957e+02  1.62181010e+01 -1.51348260e-02  1.62181010e+01 -5.51843071e+01 
 1.65958691e+01 -1.88856762e+02  1.65958691e+01 -2.20551477e-01  1.65958691e+01 -1.81963229e+02  1.65958691e+01 -1.51348271e-02  1.65958691e+01 -5.51843065e+01 
 1.69824365e+01 -1.88848006e+02  1.69824365e+01 -2.25540033e-01  1.69824365e+01 -1.81902571e+02  1.69824365e+01 -1.51348281e-02  1.69824365e+01 -5.51843059e+01 
 1.73780083e+01 -1.88838858e+02  1.73780083e+01 -2.30634550e-01  1.73780083e+01 -1.81839947e+02  1.73780083e+01 -1.51348292e-02  1.73780083e+01 -5.51843053e+01 
 1.77827941e+01 -1.88829299e+02  1.77827941e+01 -2.35836809e-01  1.77827941e+01 -1.81775323e+02  1.77827941e+01 -1.51348303e-02  1.77827941e+01 -5.51843047e+01 
 1.81970086e+01 -1.88819314e+02  1.81970086e+01 -2.41148593e-01  1.81970086e+01 -1.81708666e+02  1.81970086e+01 -1.51348313e-02  1.81970086e+01 -5.51843041e+01 
 1.86208714e+01 -1.88808883e+02  1.86208714e+01 -2.46571675e-01  1.86208714e+01 -1.81639945e+02  1.86208714e+01 -1.51348324e-02  1.86208714e+01 -5.51843035e+01 
 1.90546072e+01 -1.88797988e+02  1.90546072e+01 -2.52107825e-01  1.90546072e+01 -1.81569128e+02  1.90546072e+01 -1.51348334e-02  1.90546072e+01 -5.51843029e+01 
 1.94984460e+01 -1.88786611e+02  1.94984460e+01 -2.57758801e-01  1.94984460e+01 -1.81496189e+02  1.94984460e+01 -1.51348345e-02  1.94984460e+01 -5.51843023e+01 
 1.99526231e+01 -1.88774730e+02  1.99526231e+01 -2.63526347e-01  1.99526231e+01 -1.81421099e+02  1.99526231e+01 -1.51348355e-02  1.99526231e+01 -5.51843017e+01 
